flight_number,origin,destination,departure_date,base_fare,seats_remaining,capacity
PA100,PVG,YYZ,2027-02-18,197.68,57,162
PA101,PVG,YVR,2026-11-14,122.25,108,251
PA102,PVG,JFK,2027-01-28,118.58,154,229
PA103,JFK,YVR,2027-05-03,512.49,114,156
PA104,YYZ,LAX,2027-09-23,294.51,87,208
PA105,JFK,CDG,2026-11-22,167.7,48,123
PA106,CDG,LHR,2026-10-23,475.36,235,286
PA107,HKG,PVG,2027-07-10,532.96,160,175
PA108,CDG,JFK,2027-09-26,562.88,5,117
PA109,LHR,PVG,2027-01-28,294.58,48,125
PA110,CDG,LAX,2027-04-08,569.12,53,190
PA111,PVG,LAX,2027-07-01,214.38,125,286
PA112,HKG,LHR,2027-08-24,579.23,112,276
PA113,YYZ,JFK,2026-10-17,287.42,102,180
PA114,JFK,CDG,2027-01-17,376.94,255,267
PA115,NRT,LAX,2027-02-13,621.49,63,135
PA116,YVR,LHR,2027-07-27,379.58,149,209
PA117,JFK,LAX,2027-06-18,629.05,23,226
PA118,PVG,LAX,2027-08-18,517.49,108,140
PA119,HKG,SIN,2027-08-02,275.99,135,219
PA120,YVR,YYZ,2027-09-14,577.2,58,284
PA121,YVR,LHR,2027-08-25,305.45,28,187
PA122,LAX,NRT,2026-10-02,780.32,134,284
PA123,LAX,YVR,2026-11-24,689.17,152,260
PA124,YVR,JFK,2026-12-18,213.08,195,195
PA125,YVR,YYZ,2027-08-03,113.63,125,182
PA126,CDG,LHR,2027-01-31,714.61,30,114
PA127,PVG,SIN,2027-06-06,472.89,97,117
PA128,LAX,SIN,2027-09-03,215.59,140,221
PA129,YVR,HKG,2027-01-17,610.95,193,238
PA130,JFK,LHR,2027-04-23,406.67,191,271
PA131,YVR,NRT,2026-12-01,144.82,57,163
PA132,YYZ,YVR,2027-01-26,105.03,56,250
PA133,YYZ,JFK,2026-11-04,149.6,42,108
PA134,JFK,LHR,2027-09-08,477.46,54,224
PA135,SIN,NRT,2027-02-02,665.25,242,300
PA136,JFK,PVG,2026-11-19,348.01,220,268
PA137,HKG,NRT,2026-10-28,142.43,50,272
PA138,CDG,PVG,2027-02-05,475.4,48,149
PA139,LAX,HKG,2027-01-02,274.86,118,171
PA140,PVG,NRT,2027-07-09,556.5,6,125
PA141,YVR,YYZ,2026-11-17,216.42,121,292
PA142,NRT,SIN,2027-01-18,215.25,15,202
PA143,YYZ,HKG,2027-02-13,299.67,232,300
PA144,YVR,NRT,2026-12-19,252.39,75,148
PA145,YYZ,YVR,2026-11-01,140.02,160,291
PA146,SIN,NRT,2027-06-15,139.82,40,235
PA147,YVR,PVG,2027-01-04,147.57,76,117
PA148,JFK,HKG,2026-12-01,505.24,63,245
PA149,YYZ,PVG,2027-05-03,321.46,267,268
PA150,LHR,JFK,2027-09-08,267.08,160,283
PA151,HKG,LAX,2027-09-09,420.06,153,265
PA152,PVG,YYZ,2027-05-23,151.28,51,259
PA153,JFK,YVR,2027-02-13,716.6,89,133
PA154,JFK,CDG,2027-02-23,683.62,112,140
PA155,LHR,YVR,2026-10-05,752.23,153,270
PA156,PVG,LAX,2027-02-13,619.69,27,129
PA157,LAX,LHR,2027-02-22,602.33,53,254
PA158,JFK,LHR,2027-06-16,733.74,64,225
PA159,YYZ,PVG,2027-08-21,130.86,70,208
PA160,CDG,LAX,2027-08-23,618.86,41,167
PA161,YVR,HKG,2027-07-15,152.67,14,102
PA162,LAX,YVR,2026-10-19,486.77,149,194
PA163,HKG,LAX,2026-10-22,729.29,93,178
PA164,YYZ,CDG,2027-01-16,566.85,127,274
PA165,CDG,YVR,2027-04-27,748.03,79,258
PA166,JFK,LAX,2026-12-30,225.55,6,205
PA167,CDG,HKG,2027-09-08,286.76,127,288
PA168,PVG,HKG,2026-10-20,239.7,56,220
PA169,NRT,CDG,2027-03-06,116.57,57,158
PA170,JFK,HKG,2027-03-18,776.82,17,171
PA171,LHR,CDG,2027-08-25,575.66,102,230
PA172,YVR,CDG,2026-10-15,225.0,66,129
PA173,LHR,YYZ,2026-11-25,341.98,111,252
PA174,CDG,HKG,2027-08-07,369.64,29,230
PA175,SIN,JFK,2027-02-08,405.24,90,111
PA176,YVR,SIN,2027-09-17,354.96,100,284
PA177,PVG,CDG,2027-08-16,693.61,169,180
PA178,LHR,YVR,2027-03-08,328.33,209,270
PA179,LHR,YVR,2026-12-05,565.45,107,149
PA180,HKG,LAX,2027-08-12,384.25,77,245
PA181,YYZ,LHR,2027-02-24,650.03,110,153
PA182,SIN,CDG,2027-05-27,572.94,113,213
PA183,YVR,NRT,2026-12-26,298.65,43,268
PA184,SIN,CDG,2026-11-17,570.96,120,292
PA185,JFK,SIN,2026-12-15,271.39,5,106
PA186,NRT,PVG,2027-05-22,502.97,161,206
PA187,HKG,NRT,2027-04-23,559.24,37,162
PA188,YYZ,PVG,2027-05-06,662.88,45,156
PA189,YVR,NRT,2026-10-26,742.23,63,242
PA190,PVG,NRT,2026-12-08,471.79,170,218
PA191,YVR,CDG,2027-05-15,681.4,218,256
PA192,YVR,NRT,2026-12-21,415.05,243,290
PA193,JFK,LHR,2027-06-24,267.47,160,224
PA194,NRT,PVG,2027-02-24,335.09,69,160
PA195,YVR,PVG,2026-12-10,368.12,59,138
PA196,LAX,JFK,2026-11-02,331.62,104,206
PA197,NRT,HKG,2026-11-01,372.63,107,152
PA198,SIN,YYZ,2027-07-22,104.13,122,197
PA199,CDG,LHR,2027-04-18,623.26,137,207
